population;cohort;site;sex;id;group;Rx(ppm);age_initiation(mo);status;dead;age(days)
UM-HET3;C2013;TJL;f;JL010001;UA;2000;10;dead;1;995
UM-HET3;C2013;TJL;f;JL010002;UA;2000;10;dead;1;974
UM-HET3;C2013;TJL;f;JL010003;UA;2000;10;dead;1;680
UM-HET3;C2013;TJL;f;JL010004;UA;2000;10;dead;1;883
UM-HET3;C2013;TJL;f;JL010005;ACA_hi;2500;4;dead;1;694
UM-HET3;C2013;TJL;f;JL010006;ACA_hi;2500;4;dead;1;806
UM-HET3;C2013;TJL;f;JL010007;ACA_hi;2500;4;dead;1;883
UM-HET3;C2013;TJL;f;JL010008;ACA_hi;2500;4;dead;1;1001
UM-HET3;C2013;TJL;f;JL010009;Control;0;;dead;1;918
UM-HET3;C2013;TJL;f;JL010010;Control;0;;dead;1;785
UM-HET3;C2013;TJL;f;JL010011;Control;0;;dead;1;840
UM-HET3;C2013;TJL;f;JL010012;Control;0;;dead;1;675
UM-HET3;C2013;TJL;m;JL010013;ACA_hi;2500;4;dead;1;1029
UM-HET3;C2013;TJL;m;JL010014;ACA_hi;2500;4;removed;0;981
UM-HET3;C2013;TJL;m;JL010015;ACA_hi;2500;4;dead;1;1323
UM-HET3;C2013;TJL;m;JL010016;ACA_mid;1000;4;dead;1;1211
UM-HET3;C2013;TJL;m;JL010017;ACA_mid;1000;4;dead;1;1001
UM-HET3;C2013;TJL;m;JL010018;ACA_mid;1000;4;dead;1;1065
UM-HET3;C2013;TJL;m;JL010019;UA;2000;10;dead;1;908
UM-HET3;C2013;TJL;m;JL010020;UA;2000;10;dead;1;946
UM-HET3;C2013;TJL;m;JL010021;UA;2000;10;dead;1;580
UM-HET3;C2013;TJL;f;JL010022;Control;0;;dead;1;572
UM-HET3;C2013;TJL;f;JL010023;Control;0;;dead;1;650
UM-HET3;C2013;TJL;f;JL010024;Control;0;;dead;1;850
UM-HET3;C2013;TJL;f;JL010025;Control;0;;dead;1;922
UM-HET3;C2013;TJL;f;JL010026;ACA_lo;400;4;dead;1;518
UM-HET3;C2013;TJL;f;JL010027;ACA_lo;400;4;dead;1;929
UM-HET3;C2013;TJL;f;JL010028;ACA_lo;400;4;dead;1;1090
UM-HET3;C2013;TJL;f;JL010029;ACA_lo;400;4;dead;1;790
UM-HET3;C2013;TJL;f;JL010030;Control;0;;dead;1;901
UM-HET3;C2013;TJL;f;JL010031;Control;0;;dead;1;888
UM-HET3;C2013;TJL;f;JL010032;Control;0;;dead;1;1076
UM-HET3;C2013;TJL;f;JL010033;Control;0;;dead;1;866
UM-HET3;C2013;TJL;f;JL010034;Control;0;;dead;1;845
UM-HET3;C2013;TJL;f;JL010035;Control;0;;dead;1;670
UM-HET3;C2013;TJL;f;JL010036;Control;0;;dead;1;1062
UM-HET3;C2013;TJL;f;JL010037;Control;0;;dead;1;922
UM-HET3;C2013;TJL;m;JL010038;ACA_hi;2500;4;dead;1;1118
UM-HET3;C2013;TJL;m;JL010039;ACA_hi;2500;4;dead;1;906
UM-HET3;C2013;TJL;m;JL010040;ACA_hi;2500;4;dead;1;1209
UM-HET3;C2013;TJL;m;JL010041;ACA_mid;1000;4;dead;1;866
UM-HET3;C2013;TJL;m;JL010042;ACA_mid;1000;4;dead;1;943
UM-HET3;C2013;TJL;m;JL010043;ACA_mid;1000;4;dead;1;935
UM-HET3;C2013;TJL;m;JL010047;UA;2000;10;dead;1;740
UM-HET3;C2013;TJL;m;JL010048;UA;2000;10;dead;1;1027
UM-HET3;C2013;TJL;m;JL010049;UA;2000;10;dead;1;270
UM-HET3;C2013;TJL;m;JL010050;Control;0;;dead;1;998
UM-HET3;C2013;TJL;m;JL010051;Control;0;;dead;1;600
UM-HET3;C2013;TJL;m;JL010052;Control;0;;dead;1;864
UM-HET3;C2013;TJL;m;JL010053;ACA_mid;1000;4;dead;1;837
UM-HET3;C2013;TJL;m;JL010054;ACA_mid;1000;4;dead;1;1169
UM-HET3;C2013;TJL;m;JL010055;ACA_mid;1000;4;dead;1;943
UM-HET3;C2013;TJL;f;JL010056;ACA_mid;1000;4;dead;1;695
UM-HET3;C2013;TJL;f;JL010057;ACA_mid;1000;4;dead;1;911
UM-HET3;C2013;TJL;f;JL010058;ACA_mid;1000;4;dead;1;575
UM-HET3;C2013;TJL;f;JL010059;ACA_mid;1000;4;dead;1;575
UM-HET3;C2013;TJL;m;JL010060;UA;2000;10;dead;1;903
UM-HET3;C2013;TJL;m;JL010061;UA;2000;10;dead;1;653
UM-HET3;C2013;TJL;m;JL010062;UA;2000;10;dead;1;910
UM-HET3;C2013;TJL;f;JL010066;ACA_hi;2500;4;dead;1;1051
UM-HET3;C2013;TJL;f;JL010067;ACA_hi;2500;4;dead;1;848
UM-HET3;C2013;TJL;f;JL010068;ACA_hi;2500;4;dead;1;1205
UM-HET3;C2013;TJL;f;JL010069;ACA_hi;2500;4;dead;1;1141
UM-HET3;C2013;TJL;m;JL010070;Control;0;;dead;1;659
UM-HET3;C2013;TJL;m;JL010071;Control;0;;dead;1;469
UM-HET3;C2013;TJL;m;JL010072;Control;0;;dead;1;274
UM-HET3;C2013;TJL;f;JL010076;UA;2000;10;dead;1;1049
UM-HET3;C2013;TJL;f;JL010077;UA;2000;10;dead;1;866
UM-HET3;C2013;TJL;f;JL010078;UA;2000;10;dead;1;572
UM-HET3;C2013;TJL;f;JL010079;UA;2000;10;dead;1;825
UM-HET3;C2013;TJL;f;JL010088;ACA_hi;2500;4;dead;1;885
UM-HET3;C2013;TJL;f;JL010089;ACA_hi;2500;4;dead;1;1048
UM-HET3;C2013;TJL;f;JL010090;ACA_hi;2500;4;dead;1;992
UM-HET3;C2013;TJL;f;JL010091;ACA_hi;2500;4;dead;1;789
UM-HET3;C2013;TJL;m;JL010092;ACA_hi;2500;4;dead;1;740
UM-HET3;C2013;TJL;m;JL010093;ACA_hi;2500;4;dead;1;922
UM-HET3;C2013;TJL;m;JL010094;ACA_hi;2500;4;dead;1;1111
UM-HET3;C2013;TJL;m;JL010098;Control;0;;dead;1;728
UM-HET3;C2013;TJL;m;JL010099;Control;0;;dead;1;957
UM-HET3;C2013;TJL;m;JL010100;Control;0;;dead;1;352
UM-HET3;C2013;TJL;m;JL010101;UA;2000;10;dead;1;1146
UM-HET3;C2013;TJL;m;JL010102;UA;2000;10;dead;1;684
UM-HET3;C2013;TJL;m;JL010103;UA;2000;10;dead;1;782
UM-HET3;C2013;TJL;m;JL010104;ACA_mid;1000;4;dead;1;663
UM-HET3;C2013;TJL;m;JL010105;ACA_mid;1000;4;dead;1;784
UM-HET3;C2013;TJL;m;JL010106;ACA_mid;1000;4;dead;1;1285
UM-HET3;C2013;TJL;m;JL010107;ACA_mid;1000;4;dead;1;1302
UM-HET3;C2013;TJL;m;JL010108;ACA_mid;1000;4;dead;1;1076
UM-HET3;C2013;TJL;m;JL010109;ACA_mid;1000;4;dead;1;1027
UM-HET3;C2013;TJL;m;JL010110;UA;2000;10;dead;1;943
UM-HET3;C2013;TJL;m;JL010111;UA;2000;10;dead;1;754
UM-HET3;C2013;TJL;m;JL010112;UA;2000;10;dead;1;648
UM-HET3;C2013;TJL;f;JL010117;ACA_mid;1000;4;dead;1;778
UM-HET3;C2013;TJL;f;JL010118;ACA_mid;1000;4;dead;1;1162
UM-HET3;C2013;TJL;f;JL010119;ACA_mid;1000;4;dead;1;980
UM-HET3;C2013;TJL;f;JL010120;ACA_mid;1000;4;dead;1;1030
UM-HET3;C2013;TJL;f;JL010121;UA;2000;10;dead;1;979
UM-HET3;C2013;TJL;f;JL010122;UA;2000;10;dead;1;904
UM-HET3;C2013;TJL;f;JL010123;UA;2000;10;dead;1;773
UM-HET3;C2013;TJL;f;JL010124;UA;2000;10;dead;1;855
UM-HET3;C2013;TJL;f;JL010125;ACA_lo;400;4;dead;1;1268
UM-HET3;C2013;TJL;f;JL010126;ACA_lo;400;4;dead;1;757
UM-HET3;C2013;TJL;f;JL010127;ACA_lo;400;4;dead;1;973
UM-HET3;C2013;TJL;f;JL010128;ACA_lo;400;4;dead;1;1023
UM-HET3;C2013;TJL;m;JL010129;ACA_hi;2500;4;dead;1;925
UM-HET3;C2013;TJL;m;JL010130;ACA_hi;2500;4;dead;1;1058
UM-HET3;C2013;TJL;m;JL010131;ACA_hi;2500;4;dead;1;1163
UM-HET3;C2013;TJL;m;JL010135;UA;2000;10;dead;1;314
UM-HET3;C2013;TJL;m;JL010136;UA;2000;10;dead;1;1037
UM-HET3;C2013;TJL;m;JL010137;UA;2000;10;removed;0;953
UM-HET3;C2013;TJL;m;JL010138;Control;0;;dead;1;430
UM-HET3;C2013;TJL;m;JL010139;Control;0;;dead;1;939
