population;cohort;site;sex;id;group;Rx(ppm);age_initiation(mo);status;dead;age(days)
UM-HET3;C2006;TJL;f;JL01909;Control;0;;dead;1;1058
UM-HET3;C2006;TJL;f;JL01910;Control;0;;dead;1;730
UM-HET3;C2006;TJL;f;JL01911;Control;0;;dead;1;920
UM-HET3;C2006;TJL;f;JL01912;Control;0;;dead;1;647
UM-HET3;C2006;TJL;m;JL01930;Control;0;;dead;1;699
UM-HET3;C2006;TJL;m;JL01931;Control;0;;dead;1;904
UM-HET3;C2006;TJL;m;JL01932;Control;0;;dead;1;874
UM-HET3;C2006;TJL;m;JL01933;Control;0;;dead;1;808
UM-HET3;C2006;TJL;m;JL01934;Control;0;;dead;1;1042
UM-HET3;C2006;TJL;m;JL01935;Control;0;;dead;1;829
UM-HET3;C2006;TJL;m;JL01966;Control;0;;dead;1;903
UM-HET3;C2006;TJL;m;JL01967;Control;0;;dead;1;896
UM-HET3;C2006;TJL;m;JL01968;Control;0;;dead;1;587
UM-HET3;C2006;TJL;m;JL01969;Control;0;;dead;1;972
UM-HET3;C2006;TJL;m;JL01970;Control;0;;dead;1;1103
UM-HET3;C2006;TJL;m;JL01971;Control;0;;dead;1;453
UM-HET3;C2006;TJL;m;JL01983;Control;0;;dead;1;911
UM-HET3;C2006;TJL;m;JL01984;Control;0;;dead;1;807
UM-HET3;C2006;TJL;m;JL01985;Control;0;;dead;1;260
UM-HET3;C2006;TJL;m;JL02021;Control;0;;dead;1;1060
UM-HET3;C2006;TJL;m;JL02022;Control;0;;dead;1;581
UM-HET3;C2006;TJL;m;JL02023;Control;0;;dead;1;605
UM-HET3;C2006;TJL;m;JL02027;Control;0;;dead;1;958
UM-HET3;C2006;TJL;m;JL02028;Control;0;;dead;1;923
UM-HET3;C2006;TJL;m;JL02029;Control;0;;dead;1;672
UM-HET3;C2006;TJL;m;JL02030;Control;0;;removed;0;441
UM-HET3;C2006;TJL;m;JL02031;Control;0;;removed;0;441
UM-HET3;C2006;TJL;m;JL02032;Control;0;;removed;0;441
UM-HET3;C2006;TJL;f;JL02037;Control;0;;dead;1;739
UM-HET3;C2006;TJL;f;JL02038;Control;0;;dead;1;937
UM-HET3;C2006;TJL;f;JL02039;Control;0;;dead;1;711
UM-HET3;C2006;TJL;f;JL02040;Control;0;;dead;1;891
UM-HET3;C2006;TJL;m;JL02053;Control;0;;dead;1;784
UM-HET3;C2006;TJL;m;JL02054;Control;0;;dead;1;862
UM-HET3;C2006;TJL;m;JL02055;Control;0;;dead;1;546
UM-HET3;C2006;TJL;m;JL02065;Control;0;;dead;1;897
UM-HET3;C2006;TJL;m;JL02066;Control;0;;dead;1;986
UM-HET3;C2006;TJL;m;JL02067;Control;0;;dead;1;695
UM-HET3;C2006;TJL;m;JL02071;Control;0;;dead;1;1025
UM-HET3;C2006;TJL;m;JL02072;Control;0;;dead;1;460
UM-HET3;C2006;TJL;m;JL02073;Control;0;;dead;1;965
UM-HET3;C2006;TJL;f;JL02099;Control;0;;dead;1;695
UM-HET3;C2006;TJL;f;JL02100;Control;0;;dead;1;847
UM-HET3;C2006;TJL;f;JL02101;Control;0;;dead;1;983
UM-HET3;C2006;TJL;f;JL02102;Control;0;;dead;1;850
UM-HET3;C2006;TJL;m;JL02114;Control;0;;dead;1;593
UM-HET3;C2006;TJL;m;JL02115;Control;0;;dead;1;744
UM-HET3;C2006;TJL;m;JL02116;Control;0;;dead;1;795
UM-HET3;C2006;TJL;f;JL02125;Control;0;;dead;1;588
UM-HET3;C2006;TJL;f;JL02126;Control;0;;dead;1;1087
UM-HET3;C2006;TJL;f;JL02127;Control;0;;dead;1;829
UM-HET3;C2006;TJL;f;JL02128;Control;0;;dead;1;961
UM-HET3;C2006;TJL;f;JL02129;Control;0;;dead;1;681
UM-HET3;C2006;TJL;f;JL02130;Control;0;;dead;1;986
UM-HET3;C2006;TJL;f;JL02131;Control;0;;dead;1;1001
UM-HET3;C2006;TJL;f;JL02132;Control;0;;dead;1;1008
UM-HET3;C2006;TJL;m;JL02160;Control;0;;dead;1;940
UM-HET3;C2006;TJL;m;JL02161;Control;0;;dead;1;748
UM-HET3;C2006;TJL;m;JL02162;Control;0;;dead;1;724
UM-HET3;C2006;TJL;f;JL02166;Control;0;;dead;1;880
UM-HET3;C2006;TJL;f;JL02167;Control;0;;dead;1;596
UM-HET3;C2006;TJL;f;JL02168;Control;0;;dead;1;1077
UM-HET3;C2006;TJL;f;JL02169;Control;0;;dead;1;780
UM-HET3;C2006;TJL;m;JL02178;Control;0;;dead;1;702
UM-HET3;C2006;TJL;m;JL02179;Control;0;;dead;1;706
UM-HET3;C2006;TJL;m;JL02180;Control;0;;dead;1;488
UM-HET3;C2006;TJL;m;JL02188;Control;0;;dead;1;864
UM-HET3;C2006;TJL;m;JL02189;Control;0;;dead;1;636
UM-HET3;C2006;TJL;m;JL02190;Control;0;;dead;1;869
UM-HET3;C2006;TJL;f;JL02195;Control;0;;dead;1;995
UM-HET3;C2006;TJL;f;JL02196;Control;0;;dead;1;700
UM-HET3;C2006;TJL;f;JL02197;Control;0;;dead;1;804
UM-HET3;C2006;TJL;f;JL02198;Control;0;;dead;1;846
UM-HET3;C2006;TJL;f;JL02199;Control;0;;dead;1;148
UM-HET3;C2006;TJL;f;JL02200;Control;0;;dead;1;804
UM-HET3;C2006;TJL;f;JL02201;Control;0;;dead;1;881
UM-HET3;C2006;TJL;f;JL02202;Control;0;;dead;1;772
UM-HET3;C2006;TJL;f;JL02203;Control;0;;removed;0;555
UM-HET3;C2006;TJL;f;JL02204;Control;0;;removed;0;729
UM-HET3;C2006;TJL;f;JL02205;Control;0;;removed;0;729
UM-HET3;C2006;TJL;f;JL02206;Control;0;;removed;0;622
UM-HET3;C2006;TJL;m;JL02207;Control;0;;dead;1;456
UM-HET3;C2006;TJL;m;JL02208;Control;0;;dead;1;696
UM-HET3;C2006;TJL;m;JL02209;Control;0;;dead;1;631
UM-HET3;C2006;TJL;m;JL02225;Control;0;;removed;0;461
UM-HET3;C2006;TJL;m;JL02226;Control;0;;removed;0;729
UM-HET3;C2006;TJL;m;JL02227;Control;0;;removed;0;729
UM-HET3;C2006;TJL;m;JL02228;Control;0;;dead;1;865
UM-HET3;C2006;TJL;m;JL02229;Control;0;;dead;1;1182
UM-HET3;C2006;TJL;m;JL02230;Control;0;;dead;1;1008
UM-HET3;C2006;TJL;f;JL02231;Control;0;;dead;1;1019
UM-HET3;C2006;TJL;f;JL02232;Control;0;;dead;1;840
UM-HET3;C2006;TJL;f;JL02233;Control;0;;dead;1;648
UM-HET3;C2006;TJL;f;JL02234;Control;0;;dead;1;934
UM-HET3;C2006;TJL;f;JL02235;Control;0;;dead;1;1020
UM-HET3;C2006;TJL;f;JL02236;Control;0;;dead;1;843
UM-HET3;C2006;TJL;f;JL02237;Control;0;;dead;1;915
UM-HET3;C2006;TJL;f;JL02238;Control;0;;dead;1;458
UM-HET3;C2006;TJL;f;JL02239;Control;0;;dead;1;828
UM-HET3;C2006;TJL;f;JL02240;Control;0;;dead;1;962
UM-HET3;C2006;TJL;f;JL02241;Control;0;;dead;1;956
UM-HET3;C2006;TJL;f;JL02242;Control;0;;dead;1;1216
UM-HET3;C2006;TJL;f;JL02266;Control;0;;dead;1;1021
UM-HET3;C2006;TJL;f;JL02267;Control;0;;dead;1;1261
UM-HET3;C2006;TJL;f;JL02268;Control;0;;dead;1;958
UM-HET3;C2006;TJL;f;JL02269;Control;0;;dead;1;916
UM-HET3;C2006;TJL;m;JL02289;Control;0;;removed;0;258
UM-HET3;C2006;TJL;m;JL02290;Control;0;;removed;0;258
UM-HET3;C2006;TJL;m;JL02291;Control;0;;removed;0;258
UM-HET3;C2006;TJL;m;JL02292;Control;0;;dead;1;832
UM-HET3;C2006;TJL;m;JL02293;Control;0;;dead;1;1007
UM-HET3;C2006;TJL;m;JL02294;Control;0;;dead;1;414
UM-HET3;C2006;TJL;f;JL02299;Control;0;;removed;0;660
UM-HET3;C2006;TJL;f;JL02300;Control;0;;removed;0;712
UM-HET3;C2006;TJL;f;JL02301;Control;0;;removed;0;712
UM-HET3;C2006;TJL;f;JL02302;Control;0;;removed;0;712
UM-HET3;C2006;TJL;m;JL02306;Control;0;;dead;1;543
UM-HET3;C2006;TJL;m;JL02307;Control;0;;dead;1;1103
UM-HET3;C2006;TJL;m;JL02308;Control;0;;dead;1;696
UM-HET3;C2006;TJL;m;JL02339;Control;0;;dead;1;930
UM-HET3;C2006;TJL;m;JL02340;Control;0;;dead;1;927
UM-HET3;C2006;TJL;m;JL02341;Control;0;;dead;1;847
UM-HET3;C2006;TJL;m;JL02353;Control;0;;removed;0;701
UM-HET3;C2006;TJL;m;JL02354;Control;0;;removed;0;380
UM-HET3;C2006;TJL;m;JL02355;Control;0;;removed;0;607
UM-HET3;C2006;TJL;m;JL02359;Control;0;;dead;1;504
UM-HET3;C2006;TJL;m;JL02360;Control;0;;dead;1;635
UM-HET3;C2006;TJL;m;JL02361;Control;0;;dead;1;762
UM-HET3;C2006;TJL;m;JL02371;Control;0;;dead;1;1023
UM-HET3;C2006;TJL;m;JL02372;Control;0;;dead;1;896
UM-HET3;C2006;TJL;m;JL02373;Control;0;;dead;1;485
UM-HET3;C2006;TJL;m;JL02405;Control;0;;removed;0;694
UM-HET3;C2006;TJL;m;JL02406;Control;0;;removed;0;520
UM-HET3;C2006;TJL;m;JL02407;Control;0;;removed;0;694
UM-HET3;C2006;TJL;f;JL02418;Control;0;;removed;0;691
UM-HET3;C2006;TJL;f;JL02419;Control;0;;removed;0;691
UM-HET3;C2006;TJL;f;JL02420;Control;0;;removed;0;691
UM-HET3;C2006;TJL;f;JL02421;Control;0;;removed;0;691
UM-HET3;C2006;TJL;f;JL02422;Control;0;;dead;1;959
UM-HET3;C2006;TJL;f;JL02423;Control;0;;dead;1;880
UM-HET3;C2006;TJL;f;JL02424;Control;0;;dead;1;873
UM-HET3;C2006;TJL;f;JL02425;Control;0;;dead;1;836
UM-HET3;C2006;TJL;m;JL02432;Control;0;;dead;1;396
UM-HET3;C2006;TJL;m;JL02433;Control;0;;dead;1;873
UM-HET3;C2006;TJL;m;JL02434;Control;0;;dead;1;899
UM-HET3;C2006;TJL;f;JL02443;Control;0;;removed;0;1034
UM-HET3;C2006;TJL;f;JL02444;Control;0;;removed;0;1034
