population;cohort;site;sex;id;group;Rx(ppm);age_initiation(mo);status;dead;age(days)
UM-HET3;C2010;TJL;f;JL06009;Control;0;NA;dead;1;816
UM-HET3;C2010;TJL;f;JL06010;Control;0;NA;dead;1;977
UM-HET3;C2010;TJL;f;JL06011;Control;0;NA;dead;1;1200
UM-HET3;C2010;TJL;f;JL06012;Control;0;NA;dead;1;837
UM-HET3;C2010;TJL;f;JL06021;Control;0;NA;dead;1;774
UM-HET3;C2010;TJL;f;JL06022;Control;0;NA;dead;1;846
UM-HET3;C2010;TJL;f;JL06023;Control;0;NA;dead;1;690
UM-HET3;C2010;TJL;f;JL06024;Control;0;NA;dead;1;969
UM-HET3;C2010;TJL;f;JL06029;Control;0;NA;dead;1;262
UM-HET3;C2010;TJL;f;JL06030;Control;0;NA;dead;1;1033
UM-HET3;C2010;TJL;f;JL06031;Control;0;NA;dead;1;1172
UM-HET3;C2010;TJL;f;JL06032;Control;0;NA;dead;1;990
UM-HET3;C2010;TJL;f;JL06033;Control;0;NA;dead;1;1035
UM-HET3;C2010;TJL;f;JL06034;Control;0;NA;dead;1;873
UM-HET3;C2010;TJL;f;JL06035;Control;0;NA;dead;1;677
UM-HET3;C2010;TJL;f;JL06036;Control;0;NA;dead;1;726
UM-HET3;C2010;TJL;f;JL06090;Control;0;NA;dead;1;1190
UM-HET3;C2010;TJL;f;JL06091;Control;0;NA;dead;1;842
UM-HET3;C2010;TJL;f;JL06092;Control;0;NA;dead;1;960
UM-HET3;C2010;TJL;f;JL06093;Control;0;NA;dead;1;931
UM-HET3;C2010;TJL;f;JL06103;Control;0;NA;dead;1;775
UM-HET3;C2010;TJL;f;JL06104;Control;0;NA;dead;1;697
UM-HET3;C2010;TJL;f;JL06105;Control;0;NA;dead;1;1222
UM-HET3;C2010;TJL;f;JL06106;Control;0;NA;dead;1;697
UM-HET3;C2010;TJL;f;JL06111;Control;0;NA;dead;1;1174
UM-HET3;C2010;TJL;f;JL06112;Control;0;NA;dead;1;1047
UM-HET3;C2010;TJL;f;JL06113;Control;0;NA;dead;1;466
UM-HET3;C2010;TJL;f;JL06114;Control;0;NA;dead;1;767
UM-HET3;C2010;TJL;f;JL06145;Control;0;NA;dead;1;848
UM-HET3;C2010;TJL;f;JL06146;Control;0;NA;dead;1;827
UM-HET3;C2010;TJL;f;JL06147;Control;0;NA;dead;1;980
UM-HET3;C2010;TJL;f;JL06148;Control;0;NA;dead;1;996
UM-HET3;C2010;TJL;f;JL06157;Control;0;NA;dead;1;987
UM-HET3;C2010;TJL;f;JL06158;Control;0;NA;dead;1;910
UM-HET3;C2010;TJL;f;JL06159;Control;0;NA;dead;1;791
UM-HET3;C2010;TJL;f;JL06160;Control;0;NA;dead;1;1190
UM-HET3;C2010;TJL;f;JL06226;Control;0;NA;dead;1;900
UM-HET3;C2010;TJL;f;JL06227;Control;0;NA;dead;1;1123
UM-HET3;C2010;TJL;f;JL06228;Control;0;NA;dead;1;719
UM-HET3;C2010;TJL;f;JL06229;Control;0;NA;dead;1;838
UM-HET3;C2010;TJL;f;JL06234;Control;0;NA;dead;1;690
UM-HET3;C2010;TJL;f;JL06235;Control;0;NA;dead;1;859
UM-HET3;C2010;TJL;f;JL06236;Control;0;NA;dead;1;875
UM-HET3;C2010;TJL;f;JL06237;Control;0;NA;dead;1;558
UM-HET3;C2010;TJL;f;JL06242;Control;0;NA;dead;1;1056
UM-HET3;C2010;TJL;f;JL06243;Control;0;NA;dead;1;816
UM-HET3;C2010;TJL;f;JL06244;Control;0;NA;dead;1;845
UM-HET3;C2010;TJL;f;JL06245;Control;0;NA;dead;1;916
UM-HET3;C2010;TJL;f;JL06273;Control;0;NA;dead;1;753
UM-HET3;C2010;TJL;f;JL06274;Control;0;NA;dead;1;728
UM-HET3;C2010;TJL;f;JL06275;Control;0;NA;dead;1;998
UM-HET3;C2010;TJL;f;JL06276;Control;0;NA;dead;1;879
UM-HET3;C2010;TJL;f;JL06280;Control;0;NA;dead;1;1037
UM-HET3;C2010;TJL;f;JL06281;Control;0;NA;dead;1;1071
UM-HET3;C2010;TJL;f;JL06282;Control;0;NA;dead;1;925
UM-HET3;C2010;TJL;f;JL06283;Control;0;NA;dead;1;1002
UM-HET3;C2010;TJL;f;JL06293;Control;0;NA;dead;1;821
UM-HET3;C2010;TJL;f;JL06294;Control;0;NA;dead;1;804
UM-HET3;C2010;TJL;f;JL06295;Control;0;NA;dead;1;1057
UM-HET3;C2010;TJL;f;JL06296;Control;0;NA;dead;1;836
UM-HET3;C2010;TJL;f;JL06297;Control;0;NA;dead;1;1197
