x, y
580.0, 100.0
580.0711467818472, 99.98083128208981
629.7016971385929, 97.32743041400609
629.9650488524684, 99.99955220839107
696.1548660457391, 97.29125820347548
696.4162299945646, 94.7703550959199
719.6046281004867, 92.36884689884144
719.9464150680598, 94.88068807098568
760.8165155375572, 92.2603626377274
761.245677270501, 89.74248976656159
766.0121640669306, 89.60911260805446
766.1671880166289, 87.1945806887595
799.1375843139796, 87.03780327155573
799.4389425300969, 84.57738799840388
805.1132405386884, 84.37529910578354
805.1736121132695, 82.11568509958136
818.8342504362997, 81.89638590295496
818.8974461579465, 79.44642989083749
824.6644413629173, 76.97563808120552
824.9778999630006, 79.4486095030063
837.8209694347217, 74.22919366989656
838.099995164812, 76.78718794987898
839.6727409414862, 71.72958853834345
839.931172122205, 74.27188673333478
850.8200838939265, 71.85947328197287
851.1693657133278, 69.21166890982089
862.80085436966, 69.29295477618177
