x, y
580.0, 100.0
586.1907910584897, 100.0711682937028
585.828257472088, 98.04758542440625
589.8017672208885, 98.04758542440625
589.1000752961056, 95.92165429788999
750.9110803951497, 96.05515734158838
751.102188254664, 93.95597501985647
784.0168402337798, 94.02591323540459
784.0605927890898, 91.97726842288668
788.0740968051821, 92.00650615773836
788.0740968051821, 90.02540054869502
825.7603842180704, 90.06701099948835
825.7646421628771, 87.9468094475346
828.9601862919129, 87.9468094475346
829.0471700215362, 86.07253360852008
834.8449267053147, 85.95498561363482
