x, y
580.0, 100.0
580.2720522592587, 99.98041586095863
603.7792531204808, 98.07006132612702
604.3044141294498, 99.84404263489934
610.2536102685739, 96.12064641480517
610.2536102685739, 98.03964027047743
674.6798562403626, 95.9056956523571
675.1421691150159, 94.23197290662947
675.7752559903107, 92.40607294825892
676.4657164994554, 94.29281142120887
708.6299708790093, 90.33237338595916
708.6299708790093, 92.29686214975528
715.9809432762924, 90.38346479001477
716.0925622580118, 88.5178498521594
727.7613513798193, 88.69480486716338
727.9548054538191, 86.52411616007211
759.6238565075083, 86.7511087402448
759.7091891973085, 84.77230862856152
762.8386048365908, 82.95836776336134
763.0593010676704, 84.77230862856152
765.7383304225998, 81.07901335605912
765.777933654144, 82.98867012725914
766.0805084259204, 79.12498385329741
779.5834941700605, 79.1838333818548
780.0918840903009, 77.23761235767138
797.6621629900307, 77.2851789763715
797.9231576273168, 75.4467336595113
816.8280849818749, 75.45782234650201
816.9150687114982, 73.49726120067342
822.3588945953211, 71.63664929999099
822.9765138343793, 73.46030850195697
829.520975002326, 71.52381300797886
829.8657816348385, 69.79133784512709
844.7737588199509, 67.87114987849768
844.9525925018337, 69.7435949871592
853.6354109310878, 67.99689839441403
854.0340067030975, 65.95318468467404
862.9296789242719, 65.95318468467404
