population;cohort;site;sex;id;group;Rx(ppm);age_initiation(mo);status;dead;age(days)
UM-HET3;C2004;TJL;m;JL00005;4-OH-PBN;315;4;dead;1;896
UM-HET3;C2004;TJL;m;JL00006;4-OH-PBN;315;4;dead;1;1077
UM-HET3;C2004;TJL;m;JL00007;4-OH-PBN;315;4;dead;1;790
UM-HET3;C2004;TJL;f;JL00095;4-OH-PBN;315;4;dead;1;823
UM-HET3;C2004;TJL;f;JL00096;4-OH-PBN;315;4;dead;1;601
UM-HET3;C2004;TJL;f;JL00097;4-OH-PBN;315;4;dead;1;842
UM-HET3;C2004;TJL;f;JL00098;4-OH-PBN;315;4;dead;1;885
UM-HET3;C2004;TJL;m;JL00106;4-OH-PBN;315;4;dead;1;912
UM-HET3;C2004;TJL;m;JL00107;4-OH-PBN;315;4;dead;1;919
UM-HET3;C2004;TJL;m;JL00108;4-OH-PBN;315;4;dead;1;967
UM-HET3;C2004;TJL;m;JL00113;4-OH-PBN;315;4;dead;1;605
UM-HET3;C2004;TJL;m;JL00114;4-OH-PBN;315;4;dead;1;870
UM-HET3;C2004;TJL;m;JL00115;4-OH-PBN;315;4;dead;1;435
UM-HET3;C2004;TJL;m;JL00152;4-OH-PBN;315;4;removed;0;653
UM-HET3;C2004;TJL;m;JL00153;4-OH-PBN;315;4;dead;1;128
UM-HET3;C2004;TJL;m;JL00154;4-OH-PBN;315;4;removed;0;653
UM-HET3;C2004;TJL;m;JL00159;4-OH-PBN;315;4;dead;1;910
UM-HET3;C2004;TJL;m;JL00160;4-OH-PBN;315;4;dead;1;1028
UM-HET3;C2004;TJL;m;JL00161;4-OH-PBN;315;4;dead;1;939
UM-HET3;C2004;TJL;f;JL00188;4-OH-PBN;315;4;dead;1;950
UM-HET3;C2004;TJL;f;JL00189;4-OH-PBN;315;4;dead;1;686
UM-HET3;C2004;TJL;f;JL00190;4-OH-PBN;315;4;dead;1;610
UM-HET3;C2004;TJL;f;JL00191;4-OH-PBN;315;4;dead;1;1043
UM-HET3;C2004;TJL;m;JL00192;4-OH-PBN;315;4;dead;1;496
UM-HET3;C2004;TJL;m;JL00193;4-OH-PBN;315;4;dead;1;876
UM-HET3;C2004;TJL;m;JL00194;4-OH-PBN;315;4;dead;1;961
UM-HET3;C2004;TJL;f;JL00237;4-OH-PBN;315;4;dead;1;715
UM-HET3;C2004;TJL;f;JL00238;4-OH-PBN;315;4;dead;1;930
UM-HET3;C2004;TJL;f;JL00239;4-OH-PBN;315;4;dead;1;1101
UM-HET3;C2004;TJL;f;JL00240;4-OH-PBN;315;4;dead;1;820
UM-HET3;C2004;TJL;f;JL00264;4-OH-PBN;315;4;dead;1;620
UM-HET3;C2004;TJL;f;JL00265;4-OH-PBN;315;4;dead;1;850
UM-HET3;C2004;TJL;f;JL00266;4-OH-PBN;315;4;dead;1;584
UM-HET3;C2004;TJL;f;JL00267;4-OH-PBN;315;4;dead;1;850
UM-HET3;C2004;TJL;m;JL00268;4-OH-PBN;315;4;dead;1;416
UM-HET3;C2004;TJL;m;JL00269;4-OH-PBN;315;4;dead;1;634
UM-HET3;C2004;TJL;m;JL00270;4-OH-PBN;315;4;dead;1;641
UM-HET3;C2004;TJL;f;JL00278;4-OH-PBN;315;4;dead;1;876
UM-HET3;C2004;TJL;f;JL00279;4-OH-PBN;315;4;dead;1;959
UM-HET3;C2004;TJL;f;JL00280;4-OH-PBN;315;4;dead;1;762
UM-HET3;C2004;TJL;f;JL00281;4-OH-PBN;315;4;dead;1;328
UM-HET3;C2004;TJL;f;JL00307;4-OH-PBN;315;4;dead;1;981
UM-HET3;C2004;TJL;f;JL00308;4-OH-PBN;315;4;dead;1;743
UM-HET3;C2004;TJL;f;JL00309;4-OH-PBN;315;4;dead;1;743
UM-HET3;C2004;TJL;f;JL00310;4-OH-PBN;315;4;dead;1;1099
UM-HET3;C2004;TJL;f;JL00335;4-OH-PBN;315;4;dead;1;793
UM-HET3;C2004;TJL;f;JL00336;4-OH-PBN;315;4;dead;1;927
UM-HET3;C2004;TJL;f;JL00337;4-OH-PBN;315;4;dead;1;912
UM-HET3;C2004;TJL;f;JL00338;4-OH-PBN;315;4;dead;1;1005
UM-HET3;C2004;TJL;f;JL00361;4-OH-PBN;315;4;dead;1;916
UM-HET3;C2004;TJL;f;JL00362;4-OH-PBN;315;4;dead;1;367
UM-HET3;C2004;TJL;f;JL00363;4-OH-PBN;315;4;dead;1;677
UM-HET3;C2004;TJL;f;JL00364;4-OH-PBN;315;4;dead;1;1055
UM-HET3;C2004;TJL;m;JL00371;4-OH-PBN;315;4;dead;1;491
UM-HET3;C2004;TJL;m;JL00372;4-OH-PBN;315;4;dead;1;966
UM-HET3;C2004;TJL;m;JL00373;4-OH-PBN;315;4;dead;1;659
UM-HET3;C2004;TJL;m;JL00404;4-OH-PBN;315;4;dead;1;722
UM-HET3;C2004;TJL;m;JL00405;4-OH-PBN;315;4;dead;1;597
UM-HET3;C2004;TJL;m;JL00406;4-OH-PBN;315;4;dead;1;853
UM-HET3;C2004;TJL;f;JL00407;4-OH-PBN;315;4;dead;1;874
UM-HET3;C2004;TJL;f;JL00408;4-OH-PBN;315;4;dead;1;448
UM-HET3;C2004;TJL;f;JL00409;4-OH-PBN;315;4;dead;1;990
UM-HET3;C2004;TJL;f;JL00410;4-OH-PBN;315;4;dead;1;1119
UM-HET3;C2004;TJL;m;JL00418;4-OH-PBN;315;4;dead;1;910
UM-HET3;C2004;TJL;m;JL00419;4-OH-PBN;315;4;dead;1;881
UM-HET3;C2004;TJL;m;JL00420;4-OH-PBN;315;4;dead;1;862
UM-HET3;C2004;TJL;m;JL00425;4-OH-PBN;315;4;dead;1;1037
UM-HET3;C2004;TJL;m;JL00426;4-OH-PBN;315;4;dead;1;792
UM-HET3;C2004;TJL;m;JL00427;4-OH-PBN;315;4;dead;1;953
UM-HET3;C2004;TJL;m;JL00431;4-OH-PBN;315;4;dead;1;248
UM-HET3;C2004;TJL;m;JL00432;4-OH-PBN;315;4;dead;1;787
UM-HET3;C2004;TJL;m;JL00433;4-OH-PBN;315;4;dead;1;387
UM-HET3;C2004;TJL;m;JL00437;4-OH-PBN;315;4;dead;1;745
UM-HET3;C2004;TJL;m;JL00438;4-OH-PBN;315;4;dead;1;738
UM-HET3;C2004;TJL;m;JL00439;4-OH-PBN;315;4;dead;1;550
UM-HET3;C2004;TJL;m;JL00465;4-OH-PBN;315;4;dead;1;769
UM-HET3;C2004;TJL;m;JL00466;4-OH-PBN;315;4;dead;1;355
UM-HET3;C2004;TJL;m;JL00467;4-OH-PBN;315;4;dead;1;502
UM-HET3;C2004;TJL;m;JL00487;4-OH-PBN;315;4;dead;1;911
UM-HET3;C2004;TJL;m;JL00488;4-OH-PBN;315;4;dead;1;547
UM-HET3;C2004;TJL;m;JL00489;4-OH-PBN;315;4;dead;1;652
UM-HET3;C2004;TJL;f;JL00494;4-OH-PBN;315;4;dead;1;1004
UM-HET3;C2004;TJL;f;JL00495;4-OH-PBN;315;4;dead;1;1057
UM-HET3;C2004;TJL;f;JL00496;4-OH-PBN;315;4;dead;1;906
UM-HET3;C2004;TJL;f;JL00497;4-OH-PBN;315;4;dead;1;970
UM-HET3;C2004;TJL;m;JL00531;4-OH-PBN;315;4;dead;1;170
UM-HET3;C2004;TJL;m;JL00532;4-OH-PBN;315;4;dead;1;365
UM-HET3;C2004;TJL;m;JL00533;4-OH-PBN;315;4;dead;1;836
UM-HET3;C2004;TJL;f;JL00538;4-OH-PBN;315;4;dead;1;1019
UM-HET3;C2004;TJL;f;JL00539;4-OH-PBN;315;4;dead;1;988
UM-HET3;C2004;TJL;f;JL00540;4-OH-PBN;315;4;dead;1;655
UM-HET3;C2004;TJL;f;JL00541;4-OH-PBN;315;4;dead;1;837
UM-HET3;C2004;TJL;m;JL00614;4-OH-PBN;315;4;dead;1;447
UM-HET3;C2004;TJL;m;JL00615;4-OH-PBN;315;4;dead;1;713
UM-HET3;C2004;TJL;m;JL00616;4-OH-PBN;315;4;dead;1;685
UM-HET3;C2004;TJL;f;JL00676;4-OH-PBN;315;4;dead;1;927
UM-HET3;C2004;TJL;f;JL00677;4-OH-PBN;315;4;dead;1;715
UM-HET3;C2004;TJL;f;JL00678;4-OH-PBN;315;4;dead;1;813
UM-HET3;C2004;TJL;f;JL00679;4-OH-PBN;315;4;dead;1;905
UM-HET3;C2004;TJL;m;JL00856;4-OH-PBN;315;4;dead;1;414
UM-HET3;C2004;TJL;m;JL00857;4-OH-PBN;315;4;dead;1;293
