population;cohort;site;sex;id;group;Rx(ppm);age_initiation(mo);status;dead;age(days)
UM-HET3;C2014;TJL;f;JL11001;TM5441;60;11;dead;1;987 
UM-HET3;C2014;TJL;f;JL11002;TM5441;60;11;dead;1;897 
UM-HET3;C2014;TJL;f;JL11003;TM5441;60;11;dead;1;1078 
UM-HET3;C2014;TJL;f;JL11004;TM5441;60;11;dead;1;1141 
UM-HET3;C2014;TJL;f;JL11005;Gly;80.000;9;dead;1;1122 
UM-HET3;C2014;TJL;f;JL11006;Gly;80.000;9;dead;1;1072 
UM-HET3;C2014;TJL;f;JL11007;Gly;80.000;9;dead;1;939 
UM-HET3;C2014;TJL;f;JL11008;Gly;80.000;9;dead;1;546 
UM-HET3;C2014;TJL;f;JL11009;Control;0;;dead;1;897 
UM-HET3;C2014;TJL;f;JL11010;Control;0;;dead;1;730 
UM-HET3;C2014;TJL;f;JL11011;Control;0;;dead;1;883 
UM-HET3;C2014;TJL;f;JL11012;Control;0;;dead;1;953 
UM-HET3;C2014;TJL;m;JL11013;Asp_60;60;11;dead;1;960 
UM-HET3;C2014;TJL;m;JL11014;Asp_60;60;11;dead;1;1023 
UM-HET3;C2014;TJL;m;JL11015;Asp_60;60;11;dead;1;778 
UM-HET3;C2014;TJL;m;JL11016;TM5441;60;11;dead;1;734 
UM-HET3;C2014;TJL;m;JL11017;TM5441;60;11;dead;1;756 
UM-HET3;C2014;TJL;m;JL11018;TM5441;60;11;dead;1;756 
UM-HET3;C2014;TJL;m;JL11019;TM5441;60;11;dead;1;854 
UM-HET3;C2014;TJL;m;JL11020;TM5441;60;11;dead;1;1079 
UM-HET3;C2014;TJL;m;JL11021;TM5441;60;11;dead;1;869 
UM-HET3;C2014;TJL;f;JL11022;Asp_200;200;11;dead;1;844 
UM-HET3;C2014;TJL;f;JL11023;Asp_200;200;11;dead;1;610 
UM-HET3;C2014;TJL;f;JL11024;Asp_200;200;11;dead;1;997 
UM-HET3;C2014;TJL;f;JL11025;Asp_200;200;11;dead;1;918 
UM-HET3;C2014;TJL;f;JL11026;Control;0;;dead;1;1101 
UM-HET3;C2014;TJL;f;JL11027;Control;0;;dead;1;758 
UM-HET3;C2014;TJL;f;JL11028;Control;0;;dead;1;582 
UM-HET3;C2014;TJL;f;JL11029;Control;0;;dead;1;1162 
UM-HET3;C2014;TJL;f;JL11030;Control;0;;dead;1;1037 
UM-HET3;C2014;TJL;f;JL11031;Control;0;;dead;1;638 
UM-HET3;C2014;TJL;f;JL11032;Control;0;;dead;1;946 
UM-HET3;C2014;TJL;f;JL11033;Control;0;;dead;1;1056 
UM-HET3;C2014;TJL;m;JL11034;Inu;600;11;dead;1;924 
UM-HET3;C2014;TJL;m;JL11035;Inu;600;11;dead;1;1188 
UM-HET3;C2014;TJL;m;JL11036;Inu;600;11;dead;1;962 
UM-HET3;C2014;TJL;m;JL11037;Inu;600;11;dead;1;1093 
UM-HET3;C2014;TJL;m;JL11038;Inu;600;11;dead;1;590 
UM-HET3;C2014;TJL;m;JL11039;Inu;600;11;dead;1;569 
UM-HET3;C2014;TJL;m;JL11040;Gly;80.000;9;dead;1;1016 
UM-HET3;C2014;TJL;m;JL11041;Gly;80.000;9;dead;1;700 
UM-HET3;C2014;TJL;m;JL11042;Gly;80.000;9;dead;1;1107 
UM-HET3;C2014;TJL;f;JL11043;TM5441;60;11;dead;1;896 
UM-HET3;C2014;TJL;f;JL11044;TM5441;60;11;dead;1;350 
UM-HET3;C2014;TJL;f;JL11045;TM5441;60;11;dead;1;785 
UM-HET3;C2014;TJL;f;JL11046;TM5441;60;11;dead;1;890 
UM-HET3;C2014;TJL;f;JL11047;Control;0;;dead;1;1134 
UM-HET3;C2014;TJL;f;JL11048;Control;0;;dead;1;764 
UM-HET3;C2014;TJL;f;JL11049;Control;0;;dead;1;1197 
UM-HET3;C2014;TJL;f;JL11050;Control;0;;dead;1;723 
UM-HET3;C2014;TJL;m;JL11051;Gly;80.000;9;dead;1;834 
UM-HET3;C2014;TJL;m;JL11052;Gly;80.000;9;dead;1;695 
UM-HET3;C2014;TJL;m;JL11053;Gly;80.000;9;dead;1;1106 
UM-HET3;C2014;TJL;m;JL11054;Asp_200;200;11;dead;1;485 
UM-HET3;C2014;TJL;m;JL11055;Asp_200;200;11;dead;1;716 
UM-HET3;C2014;TJL;m;JL11056;Asp_200;200;11;dead;1;995 
UM-HET3;C2014;TJL;f;JL11057;TM5441;60;11;dead;1;1212 
UM-HET3;C2014;TJL;f;JL11058;TM5441;60;11;dead;1;662 
UM-HET3;C2014;TJL;f;JL11059;TM5441;60;11;dead;1;865 
UM-HET3;C2014;TJL;f;JL11060;TM5441;60;11;dead;1;620 
UM-HET3;C2014;TJL;m;JL11064;Gly;80.000;9;dead;1;771 
UM-HET3;C2014;TJL;m;JL11065;Gly;80.000;9;dead;1;1079 
UM-HET3;C2014;TJL;m;JL11066;Gly;80.000;9;dead;1;988 
UM-HET3;C2014;TJL;m;JL11067;Asp_200;200;11;dead;1;328 
UM-HET3;C2014;TJL;m;JL11068;Asp_200;200;11;dead;1;820 
UM-HET3;C2014;TJL;m;JL11069;Asp_200;200;11;dead;1;988 
UM-HET3;C2014;TJL;f;JL11073;Inu;600;11;dead;1;771 
UM-HET3;C2014;TJL;f;JL11074;Inu;600;11;dead;1;884 
UM-HET3;C2014;TJL;f;JL11075;Inu;600;11;dead;1;1225 
UM-HET3;C2014;TJL;f;JL11076;Inu;600;11;dead;1;1204 
UM-HET3;C2014;TJL;f;JL11077;Inu;600;11;dead;1;944 
UM-HET3;C2014;TJL;f;JL11078;Inu;600;11;dead;1;807 
