population;cohort;site;sex;id;group;Rx(ppm);age_initiation(mo);status;dead;age(days)
UM-HET3;C2012;TJL;f;JL09005;ACA;1000;16;dead;1;1022
UM-HET3;C2012;TJL;f;JL09006;ACA;1000;16;dead;1;785
UM-HET3;C2012;TJL;f;JL09007;ACA;1000;16;dead;1;1037
UM-HET3;C2012;TJL;f;JL09008;ACA;1000;16;dead;1;799
UM-HET3;C2012;TJL;f;JL09009;ACA;1000;16;dead;1;869
UM-HET3;C2012;TJL;f;JL09010;ACA;1000;16;dead;1;764
UM-HET3;C2012;TJL;f;JL09011;ACA;1000;16;dead;1;875
UM-HET3;C2012;TJL;f;JL09012;ACA;1000;16;dead;1;609
UM-HET3;C2012;TJL;m;JL09013;ACA;1000;16;dead;1;1303
UM-HET3;C2012;TJL;m;JL09014;ACA;1000;16;dead;1;504
UM-HET3;C2012;TJL;m;JL09015;ACA;1000;16;dead;1;756
UM-HET3;C2012;TJL;m;JL09025;ACA;1000;16;dead;1;756
UM-HET3;C2012;TJL;m;JL09026;ACA;1000;16;dead;1;764
UM-HET3;C2012;TJL;m;JL09027;ACA;1000;16;dead;1;702
UM-HET3;C2012;TJL;f;JL09051;ACA;1000;16;dead;1;1247
UM-HET3;C2012;TJL;f;JL09052;ACA;1000;16;dead;1;974
UM-HET3;C2012;TJL;f;JL09053;ACA;1000;16;dead;1;843
UM-HET3;C2012;TJL;f;JL09054;ACA;1000;16;dead;1;946
UM-HET3;C2012;TJL;f;JL09071;ACA;1000;16;dead;1;769
UM-HET3;C2012;TJL;f;JL09072;ACA;1000;16;dead;1;1188
UM-HET3;C2012;TJL;f;JL09073;ACA;1000;16;dead;1;796
UM-HET3;C2012;TJL;f;JL09074;ACA;1000;16;dead;1;1365
UM-HET3;C2012;TJL;f;JL09075;ACA;1000;16;dead;1;955
UM-HET3;C2012;TJL;f;JL09076;ACA;1000;16;dead;1;833
UM-HET3;C2012;TJL;f;JL09077;ACA;1000;16;dead;1;971
UM-HET3;C2012;TJL;f;JL09078;ACA;1000;16;dead;1;1075
UM-HET3;C2012;TJL;m;JL09083;ACA;1000;16;dead;1;812
UM-HET3;C2012;TJL;m;JL09084;ACA;1000;16;dead;1;1013
UM-HET3;C2012;TJL;m;JL09085;ACA;1000;16;dead;1;922
UM-HET3;C2012;TJL;m;JL09086;ACA;1000;16;dead;1;796
UM-HET3;C2012;TJL;m;JL09087;ACA;1000;16;dead;1;998
UM-HET3;C2012;TJL;m;JL09088;ACA;1000;16;dead;1;1193
UM-HET3;C2012;TJL;m;JL09098;ACA;1000;16;dead;1;427
UM-HET3;C2012;TJL;m;JL09099;ACA;1000;16;dead;1;1055
UM-HET3;C2012;TJL;m;JL09100;ACA;1000;16;dead;1;1174
UM-HET3;C2012;TJL;f;JL09104;ACA;1000;16;dead;1;1071
UM-HET3;C2012;TJL;f;JL09105;ACA;1000;16;dead;1;1021
UM-HET3;C2012;TJL;f;JL09106;ACA;1000;16;dead;1;743
UM-HET3;C2012;TJL;f;JL09107;ACA;1000;16;dead;1;841
UM-HET3;C2012;TJL;m;JL09108;ACA;1000;16;dead;1;798
UM-HET3;C2012;TJL;m;JL09109;ACA;1000;16;dead;1;204
UM-HET3;C2012;TJL;m;JL09110;ACA;1000;16;dead;1;834
UM-HET3;C2012;TJL;m;JL09111;ACA;1000;16;dead;1;813
UM-HET3;C2012;TJL;m;JL09112;ACA;1000;16;dead;1;1170
UM-HET3;C2012;TJL;m;JL09113;ACA;1000;16;dead;1;1058
UM-HET3;C2012;TJL;m;JL09120;ACA;1000;16;dead;1;350
UM-HET3;C2012;TJL;m;JL09121;ACA;1000;16;dead;1;905
UM-HET3;C2012;TJL;m;JL09122;ACA;1000;16;dead;1;756
UM-HET3;C2012;TJL;f;JL09123;ACA;1000;16;dead;1;902
UM-HET3;C2012;TJL;f;JL09124;ACA;1000;16;dead;1;544
UM-HET3;C2012;TJL;f;JL09125;ACA;1000;16;dead;1;826
UM-HET3;C2012;TJL;f;JL09126;ACA;1000;16;dead;1;749
UM-HET3;C2012;TJL;f;JL09135;ACA;1000;16;dead;1;907
UM-HET3;C2012;TJL;f;JL09136;ACA;1000;16;dead;1;700
UM-HET3;C2012;TJL;f;JL09137;ACA;1000;16;dead;1;698
UM-HET3;C2012;TJL;f;JL09138;ACA;1000;16;dead;1;973
UM-HET3;C2012;TJL;m;JL09146;ACA;1000;16;dead;1;989
UM-HET3;C2012;TJL;m;JL09147;ACA;1000;16;removed;0;907
UM-HET3;C2012;TJL;m;JL09148;ACA;1000;16;dead;1;1118
UM-HET3;C2012;TJL;f;JL09149;ACA;1000;16;dead;1;999
UM-HET3;C2012;TJL;f;JL09150;ACA;1000;16;dead;1;649
UM-HET3;C2012;TJL;f;JL09151;ACA;1000;16;dead;1;950
UM-HET3;C2012;TJL;f;JL09152;ACA;1000;16;dead;1;1267
UM-HET3;C2012;TJL;m;JL09153;ACA;1000;16;dead;1;992
UM-HET3;C2012;TJL;m;JL09154;ACA;1000;16;dead;1;735
UM-HET3;C2012;TJL;m;JL09155;ACA;1000;16;dead;1;1152
UM-HET3;C2012;TJL;m;JL09169;ACA;1000;16;dead;1;1162
UM-HET3;C2012;TJL;m;JL09170;ACA;1000;16;dead;1;1044
UM-HET3;C2012;TJL;m;JL09171;ACA;1000;16;dead;1;1036
UM-HET3;C2012;TJL;f;JL09186;ACA;1000;16;dead;1;1071
UM-HET3;C2012;TJL;f;JL09187;ACA;1000;16;dead;1;1240
UM-HET3;C2012;TJL;f;JL09188;ACA;1000;16;dead;1;566
UM-HET3;C2012;TJL;f;JL09189;ACA;1000;16;dead;1;834
UM-HET3;C2012;TJL;f;JL09190;ACA;1000;16;dead;1;729
UM-HET3;C2012;TJL;f;JL09191;ACA;1000;16;dead;1;855
UM-HET3;C2012;TJL;f;JL09192;ACA;1000;16;dead;1;757
UM-HET3;C2012;TJL;f;JL09193;ACA;1000;16;dead;1;1240
UM-HET3;C2012;TJL;m;JL09202;ACA;1000;16;dead;1;497
UM-HET3;C2012;TJL;m;JL09203;ACA;1000;16;dead;1;336
UM-HET3;C2012;TJL;m;JL09204;ACA;1000;16;dead;1;876
UM-HET3;C2012;TJL;m;JL09205;ACA;1000;16;dead;1;1197
UM-HET3;C2012;TJL;m;JL09206;ACA;1000;16;dead;1;924
UM-HET3;C2012;TJL;m;JL09207;ACA;1000;16;dead;1;602
UM-HET3;C2012;TJL;m;JL09211;ACA;1000;16;dead;1;792
UM-HET3;C2012;TJL;m;JL09212;ACA;1000;16;dead;1;1191
