population;cohort;site;sex;id;group;Rx(ppm);age_initiation(mo);status;dead;age(days)
UM-HET3;C2011;UM;f;UM33887;17aE2_hi;14;10;dead;1;728
UM-HET3;C2011;UM;f;UM33894;17aE2_hi;14;10;dead;1;835
UM-HET3;C2011;UM;f;UM33901;17aE2_hi;14;10;dead;1;1138
UM-HET3;C2011;UM;f;UM33908;17aE2_hi;14;10;dead;1;1011
UM-HET3;C2011;UM;m;UM33964;17aE2_hi;14;10;dead;1;1211
UM-HET3;C2011;UM;m;UM33971;17aE2_hi;14;10;dead;1;753
UM-HET3;C2011;UM;m;UM33978;17aE2_hi;14;10;dead;1;1070
UM-HET3;C2011;UM;f;UM34181;17aE2_hi;14;10;dead;1;831
UM-HET3;C2011;UM;f;UM34188;17aE2_hi;14;10;dead;1;893
UM-HET3;C2011;UM;f;UM34195;17aE2_hi;14;10;dead;1;627
UM-HET3;C2011;UM;f;UM34202;17aE2_hi;14;10;dead;1;740
UM-HET3;C2011;UM;f;UM34790;17aE2_hi;14;10;dead;1;713
UM-HET3;C2011;UM;f;UM34797;17aE2_hi;14;10;dead;1;1015
UM-HET3;C2011;UM;f;UM34804;17aE2_hi;14;10;dead;1;869
UM-HET3;C2011;UM;f;UM34811;17aE2_hi;14;10;dead;1;612
UM-HET3;C2011;UM;f;UM35084;17aE2_hi;14;10;dead;1;724
UM-HET3;C2011;UM;f;UM35091;17aE2_hi;14;10;dead;1;897
UM-HET3;C2011;UM;f;UM35098;17aE2_hi;14;10;dead;1;632
UM-HET3;C2011;UM;f;UM35105;17aE2_hi;14;10;dead;1;1022
UM-HET3;C2011;UM;m;UM35154;17aE2_hi;14;10;dead;1;1120
UM-HET3;C2011;UM;m;UM35161;17aE2_hi;14;10;dead;1;1097
UM-HET3;C2011;UM;m;UM35168;17aE2_hi;14;10;dead;1;904
UM-HET3;C2011;UM;m;UM35238;17aE2_hi;14;10;dead;1;1073
UM-HET3;C2011;UM;m;UM35245;17aE2_hi;14;10;dead;1;497
UM-HET3;C2011;UM;m;UM35252;17aE2_hi;14;10;dead;1;904
UM-HET3;C2011;UM;f;UM35497;17aE2_hi;14;10;dead;1;716
UM-HET3;C2011;UM;f;UM35504;17aE2_hi;14;10;dead;1;561
UM-HET3;C2011;UM;f;UM35511;17aE2_hi;14;10;dead;1;1122
UM-HET3;C2011;UM;f;UM35518;17aE2_hi;14;10;dead;1;908
UM-HET3;C2011;UM;m;UM35525;17aE2_hi;14;10;dead;1;807
UM-HET3;C2011;UM;m;UM35532;17aE2_hi;14;10;dead;1;632
UM-HET3;C2011;UM;m;UM35539;17aE2_hi;14;10;dead;1;1204
UM-HET3;C2011;UM;f;UM35903;17aE2_hi;14;10;dead;1;577
UM-HET3;C2011;UM;f;UM35910;17aE2_hi;14;10;dead;1;877
UM-HET3;C2011;UM;f;UM35917;17aE2_hi;14;10;dead;1;1118
UM-HET3;C2011;UM;f;UM35924;17aE2_hi;14;10;dead;1;644
UM-HET3;C2011;UM;m;UM35952;17aE2_hi;14;10;dead;1;867
UM-HET3;C2011;UM;m;UM35959;17aE2_hi;14;10;dead;1;940
UM-HET3;C2011;UM;m;UM35966;17aE2_hi;14;10;dead;1;684
UM-HET3;C2011;UM;f;UM35973;17aE2_hi;14;10;dead;1;1151
UM-HET3;C2011;UM;f;UM35980;17aE2_hi;14;10;dead;1;966
UM-HET3;C2011;UM;f;UM35987;17aE2_hi;14;10;dead;1;904
UM-HET3;C2011;UM;f;UM35994;17aE2_hi;14;10;dead;1;805
UM-HET3;C2011;UM;m;UM36043;17aE2_hi;14;10;dead;1;891
UM-HET3;C2011;UM;m;UM36050;17aE2_hi;14;10;dead;1;1193
UM-HET3;C2011;UM;m;UM36057;17aE2_hi;14;10;removed;0;36
UM-HET3;C2011;UM;m;UM36295;17aE2_hi;14;10;dead;1;984
UM-HET3;C2011;UM;m;UM36302;17aE2_hi;14;10;dead;1;754
UM-HET3;C2011;UM;m;UM36309;17aE2_hi;14;10;dead;1;1363
UM-HET3;C2011;UM;m;UM36316;17aE2_hi;14;10;dead;1;1164
UM-HET3;C2011;UM;m;UM36323;17aE2_hi;14;10;removed;0;42
UM-HET3;C2011;UM;m;UM36330;17aE2_hi;14;10;dead;1;1212
UM-HET3;C2011;UM;m;UM36435;17aE2_hi;14;10;removed;0;509
UM-HET3;C2011;UM;m;UM36442;17aE2_hi;14;10;removed;0;509
UM-HET3;C2011;UM;m;UM36449;17aE2_hi;14;10;removed;0;509
UM-HET3;C2011;UM;m;UM36498;17aE2_hi;14;10;removed;0;269
UM-HET3;C2011;UM;m;UM36505;17aE2_hi;14;10;removed;0;269
UM-HET3;C2011;UM;m;UM36512;17aE2_hi;14;10;removed;0;269
UM-HET3;C2011;UM;m;UM36764;17aE2_hi;14;10;dead;1;713
UM-HET3;C2011;UM;m;UM36771;17aE2_hi;14;10;dead;1;717
UM-HET3;C2011;UM;m;UM36778;17aE2_hi;14;10;dead;1;979
UM-HET3;C2011;UM;f;UM36897;17aE2_hi;14;10;dead;1;930
UM-HET3;C2011;UM;f;UM36904;17aE2_hi;14;10;dead;1;731
UM-HET3;C2011;UM;f;UM36911;17aE2_hi;14;10;dead;1;1091
UM-HET3;C2011;UM;f;UM36918;17aE2_hi;14;10;removed;0;797
UM-HET3;C2011;UM;f;UM37044;17aE2_hi;14;10;dead;1;561
